ST,state_county5,fips,lon,lat,den,r0.est,r0.est.cor,r0.l66.cor,r0.u66.cor,r0.pred,r0.pred.se,R0.pred,R0.pred.l66,R0.pred.u66
IL,IL_Jersey Count,17083,-90.32042,39.072862,22.29570658,0.081182979,0.11219679,0.083350498,0.140011873,0.09466516,0.026390631,1.937495524,1.626646074,2.291944747
IL,IL_Jo Daviess C,17085,-90.305944,42.411324,13.24984786,0.081182979,0.11219679,0.083350498,0.140011873,0.1019072,0.028140662,2.030273318,1.687915392,2.423300642
IL,IL_Johnson Coun,17087,-88.882358,37.474558,13.74137122,0.081182979,0.11219679,0.083350498,0.140011873,0.088852545,0.028427796,1.865408681,1.542080032,2.238431388
IL,"IL_Kane County,",17089,-88.331264,41.918111,392.2036891,0.018949768,0.121275296,0.088867532,0.158488786,0.138220726,0.027698494,2.547550922,2.145016939,3.00448772
IL,IL_Kankakee Cou,17091,-87.850867,41.148582,62.24291537,0.081182979,0.11219679,0.083350498,0.140011873,0.122278819,0.025542365,2.309486244,1.963692464,2.699562357
IL,IL_Kendall Coun,17093,-88.379066,41.663724,154.3378509,0.081182979,0.11219679,0.083350498,0.140011873,0.12526516,0.024995034,2.352745722,2.009009796,2.739242357
IL,"IL_Knox County,",17095,-90.328601,40.937032,26.66084583,0.081182979,0.11219679,0.083350498,0.140011873,0.103042266,0.028331583,2.045117006,1.698625559,2.443141762
IL,"IL_Lake County,",17097,-87.969458,42.313072,196.5816094,0.037902747,0.1191404,0.084389094,0.149061826,0.135145769,0.025925048,2.500252789,2.127372754,2.920399471
IL,IL_LaSalle Coun,17099,-88.895997,41.350798,36.54435499,0.081182979,0.11219679,0.083350498,0.140011873,0.110257654,0.02665902,2.141421154,1.802039411,2.527410794
IL,IL_Lawrence Cou,17101,-87.748328,38.718291,16.18660648,0.081182979,0.11219679,0.083350498,0.140011873,0.097859935,0.027874914,1.978014788,1.645540822,2.359604965
IL,"IL_Lee County, ",17103,-89.398207,41.810242,18.04992129,0.081182979,0.11219679,0.083350498,0.140011873,0.103927764,0.027302951,2.05675442,1.720500022,2.440994127
IL,IL_Livingston C,17105,-88.573187,40.907044,13.16488891,0.081182979,0.11219679,0.083350498,0.140011873,0.105555935,0.026741077,2.078284029,1.745793551,2.457027553
IL,IL_Logan County,17107,-89.361505,40.140775,17.84935305,0.081182979,0.11219679,0.083350498,0.140011873,0.100849041,0.027897134,2.016509635,1.678716403,2.403941766
IL,IL_McDonough Co,17109,-90.669344,40.469472,19.42222131,0.081182979,0.11219679,0.083350498,0.140011873,0.098913221,0.02825134,1.9915147,1.653064386,2.38057731
IL,IL_McHenry Coun,17111,-88.34988,42.271472,194.4306408,0.081182979,0.11219679,0.083350498,0.140011873,0.127030522,0.025045092,2.378605124,2.031293715,2.769059765
IL,IL_McLean Count,17113,-88.954977,40.494123,55.82176596,0.081182979,0.11219679,0.083350498,0.140011873,0.111500507,0.02758768,2.158352278,1.805781783,2.561014985
IL,IL_Macon County,17115,-88.947076,39.851176,68.59936814,0.081182979,0.11219679,0.083350498,0.140011873,0.110633398,0.027862644,2.146529138,1.792207039,2.551818387
IL,IL_Macoupin Cou,17117,-89.877035,39.19403,19.99194712,0.081182979,0.11219679,0.083350498,0.140011873,0.095913325,0.026997733,1.953249575,1.633707712,2.31859404
IL,IL_Madison Coun,17119,-90.018097,38.801396,137.1326816,0.081182979,0.11219679,0.083350498,0.140011873,0.108615101,0.026182752,2.119200343,1.788199861,2.494943223
IL,IL_Marion Count,17121,-89.016967,38.59071,24.95079348,0.081182979,0.11219679,0.083350498,0.140011873,0.096946894,0.027888093,1.966369133,1.63528847,2.346476832
IL,IL_Marshall Cou,17123,-89.315638,41.043034,11.08130697,0.081182979,0.11219679,0.083350498,0.140011873,0.100904818,0.027574183,2.01723335,1.682988246,2.399982815
IL,IL_Mason County,17125,-89.898924,40.286475,9.154851658,0.081182979,0.11219679,0.083350498,0.140011873,0.095945809,0.028040409,1.953660895,1.622590673,2.334144832
IL,IL_Massac Count,17127,-88.714109,37.178592,21.96090963,0.081182979,0.11219679,0.083350498,0.140011873,0.090693502,0.028516192,1.888013274,1.560657603,2.265658274
IL,IL_Menard Count,17129,-89.799507,39.99726,14.92992546,0.081182979,0.11219679,0.083350498,0.140011873,0.097746865,0.02788376,1.97656974,1.644188484,2.358081597
IL,IL_Mercer Count,17131,-90.687167,41.214043,10.47662139,0.081182979,0.11219679,0.083350498,0.140011873,0.098221082,0.028415414,1.982635679,1.643551686,2.372814812
IL,IL_Monroe Count,17133,-90.171163,38.358529,33.62434493,0.081182979,0.11219679,0.083350498,0.140011873,0.094906394,0.026113383,1.940532718,1.632355593,2.291429755
IL,IL_Montgomery C,17135,-89.505319,39.198961,15.45625992,0.081182979,0.11219679,0.083350498,0.140011873,0.095600283,0.027437561,1.949289252,1.62541689,2.320423748
IL,IL_Morgan Count,17137,-90.231161,39.718155,22.70774777,0.081182979,0.11219679,0.083350498,0.140011873,0.097761638,0.027576513,1.97675849,1.647762282,2.353810672
IL,IL_Moultrie Cou,17139,-88.614419,39.631979,16.25308673,0.081182979,0.11219679,0.083350498,0.140011873,0.10117119,0.027887228,2.020692312,1.682461342,2.408574792
IL,"IL_Ogle County,",17141,-89.256098,42.028653,25.61586385,0.081182979,0.11219679,0.083350498,0.140011873,0.106437738,0.026987846,2.090015792,1.753181112,2.474083794
IL,IL_Peoria Count,17143,-89.638993,40.742915,109.6532757,0.081182979,0.11219679,0.083350498,0.140011873,0.11499681,0.027983214,2.206528155,1.843036806,2.622081132
IL,IL_Perry County,17145,-89.323862,38.058514,18.07292735,0.081182979,0.11219679,0.083350498,0.140011873,0.091949973,0.027817772,1.903561385,1.581584364,2.273580096
IL,IL_Piatt County,17147,-88.581585,40.007008,14.33053043,0.081182979,0.11219679,0.083350498,0.140011873,0.102547632,0.027704801,2.038638332,1.700128794,2.426353721
IL,"IL_Pike County,",17149,-90.859127,39.621311,7.07738221,0.081182979,0.11219679,0.083350498,0.140011873,0.089369412,0.027548768,1.871734053,1.556862843,2.233348406
IL,"IL_Pope County,",17151,-88.54991,37.39893,4.304677805,0.081182979,0.11219679,0.083350498,0.140011873,0.083240595,0.028467122,1.797782053,1.483343213,2.161184937
IL,IL_Pulaski Coun,17153,-89.13475,37.199543,10.13009498,0.081182979,0.11219679,0.083350498,0.140011873,0.086295777,0.028472082,1.834360291,1.514825457,2.203348633
IL,IL_Putnam Count,17155,-89.270945,41.229306,12.86408517,0.081182979,0.11219679,0.083350498,0.140011873,0.102111768,0.027399152,2.032942437,1.698647549,2.415300946
IL,IL_Randolph Cou,17157,-89.809249,38.055541,20.54460957,0.081182979,0.11219679,0.083350498,0.140011873,0.091591342,0.027212036,1.899113546,1.584245001,2.259903587
IL,IL_Richland Cou,17159,-88.088315,38.725943,16.54448089,0.081182979,0.11219679,0.083350498,0.140011873,0.097362791,0.02807271,1.971667293,1.637843875,2.355231612
IL,IL_Rock Island ,17161,-90.504005,41.489142,121.4117072,0.081182979,0.11219679,0.083350498,0.140011873,0.116176528,0.028381394,2.222966571,1.852519329,2.64714895
IL,IL_St. Clair Co,17163,-90.000674,38.550219,148.7637086,0.081182979,0.11219679,0.083350498,0.140011873,0.108432843,0.026153198,2.116745594,1.786393898,2.491714928
IL,IL_Saline Count,17165,-88.536395,37.754786,23.4370893,0.081182979,0.11219679,0.083350498,0.140011873,0.093252634,0.028389795,1.919784566,1.589461355,2.300346065
IL,IL_Sangamon Cou,17167,-89.652867,39.772757,85.69418268,0.081182979,0.11219679,0.083350498,0.140011873,0.109476382,0.02775967,2.130829929,1.779748468,2.532332232
IL,IL_Schuyler Cou,17169,-90.568639,40.13118,5.919709812,0.081182979,0.11219679,0.083350498,0.140011873,0.091613898,0.028027394,1.899393066,1.575721009,2.27178319
IL,IL_Scott County,17171,-90.462754,39.645737,7.561969984,0.081182979,0.11219679,0.083350498,0.140011873,0.090876943,0.02748055,1.890277146,1.573682272,2.253601268
IL,IL_Shelby Count,17173,-88.802073,39.396539,10.87493393,0.081182979,0.11219679,0.083350498,0.140011873,0.097027353,0.027935454,1.967393263,1.635653985,2.348338232
IL,IL_Stark County,17175,-89.792451,41.098377,7.155938751,0.081182979,0.11219679,0.083350498,0.140011873,0.097347226,0.028033075,1.971468804,1.638109989,2.354425828
IL,IL_Stephenson C,17177,-89.644541,42.324139,30.42027217,0.081182979,0.11219679,0.083350498,0.140011873,0.106848599,0.027529778,2.095499229,1.751654357,2.488552884
IL,IL_Tazewell Cou,17179,-89.534104,40.602899,77.34654478,0.081182979,0.11219679,0.083350498,0.140011873,0.111938175,0.027938037,2.16433872,1.806822805,2.573292466
IL,IL_Union County,17181,-89.236505,37.46858,15.23097135,0.081182979,0.11219679,0.083350498,0.140011873,0.089048111,0.02830423,1.867800067,1.545450053,2.239442961
IL,IL_Vermilion Co,17183,-87.654806,40.149683,32.42180716,0.081182979,0.11219679,0.083350498,0.140011873,0.113386641,0.026988208,2.184241019,1.835599199,2.581084094
IL,IL_Wabash Count,17185,-87.789625,38.431283,19.52714734,0.081182979,0.11219679,0.083350498,0.140011873,0.096692934,0.027999588,1.963139275,1.631256883,2.344403479
IL,IL_Warren Count,17187,-90.636371,40.890638,11.97234958,0.081182979,0.11219679,0.083350498,0.140011873,0.097866276,0.028382766,1.97809584,1.639983419,2.367131463
IL,IL_Washington C,17189,-89.39393,38.359407,9.504204137,0.081182979,0.11219679,0.083350498,0.140011873,0.089616216,0.027523075,1.874760213,1.559761422,2.236450683
